id,title
40131,Huyện Hà Trung
40139,Huyện Hậu Lộc
40117,Huyện Lang Chánh
40107,Huyện Mường Lát
40133,Huyện Nga Sơn
40121,Huyện Ngọc Lặc
40127,Huyện Như Thanh
40125,Huyện Như Xuân
40151,Huyện Nông Cống
40109,Huyện Quan Hoá
40111,Huyện Quan Sơn
40149,Huyện Quảng Xương
40141,Huyện Thiệu Hoá
40123,Huyện Thường Xuân
40119,Huyện Thạch Thành
40137,Huyện Thọ Xuân
40147,Huyện Triệu Sơn
40129,Huyện Vĩnh Lộc
40135,Huyện Yên Định
40145,Huyện Đông Sơn
40105,Thành Phố Sầm Sơn
40101,Thành phố Thanh Hoá
40103,Thị xã Bỉm Sơn
40153,Thị xã Nghi Sơn
11505,Huyện Hưng Hà
11513,Huyện Kiến Xương
11503,Huyện Quỳnh Phụ
11507,Huyện Thái Thụy
11515,Huyện Tiền Hải
11511,Huyện Vũ Thư
11509,Huyện Đông Hưng
11501,Thành phố Thái Bình
21515,Huyện Phú Bình
21509,Huyện Phú Lương
21507,Huyện Võ Nhai
21513,Huyện Đại Từ
21505,Huyện Định Hoá
21511,Huyện Đồng Hỷ
21503,Thành Phố Sông Công
21517,Thành phố Phổ Yên
21501,Thành phố Thái Nguyên
41115,Huyện A Lưới
41117,Huyện Nam Đông
41103,Huyện Phong ĐIền
41113,Huyện Phú Lộc
41109,Huyện Phú Vang
41105,Huyện Quảng ĐIền
41101,Thành phố Huế
41107,Thị Xã Hương Trà
41111,Thị xã  Hương Thuỷ
80709,Huyện Cai Lậy
80707,Huyện Châu Thành
80711,Huyện Chợ Gạo
80713,Huyện Cái Bè
80715,Huyện Gò Công Tây
80717,Huyện Gò Công Đông
80719,Huyện Tân Phú Đông
80705,Huyện Tân Phước
80701,Thành phố Mỹ Tho
80721,Thị Xã Cai Lậy
80703,Thị xã Gò Công
81705,Huyện Châu Thành
81703,Huyện Càng Long
81707,Huyện Cầu Kè
81711,Huyện Cầu Ngang
81715,Huyện Duyên Hải
81709,Huyện Tiểu Cần
81713,Huyện Trà Cú
81701,Thành phố Trà Vinh
81716,Thị xã Duyên Hải
21105,Huyện Chiêm Hoá
21107,Huyện Hàm Yên
21113,Huyện Lâm Bình
21103,Huyện Na Hang
21111,Huyện Sơn Dương
21109,Huyện Yên Sơn
21101,Thành Phố Tuyên Quang
70913,Huyện Bến Cầu
70909,Huyện Châu Thành
70907,Huyện Dương Minh Châu
70915,Huyện Gò Dầu
70917,Huyện Trảng Bàng
70903,Huyện Tân Biên
70905,Huyện Tân Châu
70901,Thành phố Tây Ninh
70911,Thị xã Hoà Thành
80908,Huyện Bình Tân
80903,Huyện Long Hồ
80905,Huyện Mang Thít
80909,Huyện Tam Bình
80911,Huyện Trà Ôn
80913,Huyện Vũng Liêm
80901,Thành phố  Vĩnh Long
80907,Thị xã Bình Minh
21913,Huyện Bình Xuyên
21903,Huyện Lập Thạch
